GLEN.L,GLENCORE XSTRAT
GSK.L,GlaxoSmithKline plc
HL.L,Hargreaves Lansdown Plc.
HMSO.L,Hammerson plc
HSBA.L,HSBC Holdings plc
IHG.L,Intercontinental Hotels Group plc
IMI.L,IMI plc
IMT.L,Imperial Tobacco Group plc
ITRK.L,Intertek Group plc
ITV.L,ITV plc
LAND.L,Land Securities Group plc
LGEN.L,Legal & General Group Plc
LLOY.L,Lloyds Banking Group plc
MKS.L,Marks & Spencer Group plc
MRO.L,Melrose Industries PLC
NG.L,National Grid plc
NXT.L,Next Plc
OML.L,Old Mutual plc
PFC.L,Petrofac Limited
POLY.L,POLYMETAL INTL
PRU.L,Prudential plc
PSON.L,Pearson plc
RB.L,Reckitt Benckiser Group plc
RBS.L,The Royal Bank of Scotland Group plc
RDSB.L,Royal Dutch Shell plc
REL.L,Reed Elsevier plc
REX.L,Rexam plc
RIO.L,Rio Tinto plc
RR.L,Rolls Royce Holdings plc
RSA.L,RSA Insurance Group plc
SAB.L,SABMiller plc
SBRY.L,J. Sainsbury plc
SDR.L,Schroders plc
SL.L,Standard Life plc
SMIN.L,Smiths Group plc
SN.L,Smith & Nephew plc
SRP.L,Serco Group plc
STAN.L,Standard Chartered PLC
SVT.L,Severn Trent plc
TLW.L,Tullow Oil plc
TSCO.L,Tesco PLC
TT.L,TUI Travel PLC
ULVR.L,Unilever plc
UU.L,United Utilities Group PLC
VED.L,Vedanta Resources plc
VOD.L,Vodafone Group Public Limited Company
WEIR.L,The Weir Group PLC
WG.L,John Wood Group plc
WMH.L,William Hill plc
WOS.L,Wolseley plc
